Type,ID,Name,Address,Category,Price,AreaCode,Dates,Description
Accommodation,386021,진동너와촌 해마루펜션,강원특별자치도 인제군 기린면 설피밭길 395-49 null,Guesthouse,81000,32,N/A,N/A
Accommodation,398059,진동리의아침,강원특별자치도 인제군 기린면 조침령로 1329 null,Guesthouse,216000,32,N/A,N/A
Accommodation,397659,진송관광호텔,전라남도 장흥군 장흥읍 동교2길 1 null,Hotel,76000,38,N/A,N/A
Accommodation,3533135,진스테이,서울특별시 양천구 목동중앙북로22길 3-14 (목동) null,Camping,135000,1,N/A,N/A
Accommodation,2697852,진아리랑 호스텔,전라남도 여수시 돌산읍 강남2길 6-18 null,Camping,152000,38,N/A,N/A
Accommodation,2582593,째즈호텔,전라남도 목포시 하당남부로61번길 29 (상동),B02010900,97000,38,N/A,N/A
Accommodation,2570406,차칸호텔,전북특별자치도 군산시 소룡1길 58 (소룡동),B02010900,95000,37,N/A,N/A
Accommodation,1997639,찰방공종택,경상북도 청송군 파천면 송소고택길 23-8 (파천면),B02011600,179000,35,N/A,N/A
Accommodation,2572741,참조은펜션,경상남도 산청군 신안면 산청대로1212번길 112-5 null,Guesthouse,135000,36,N/A,N/A
Accommodation,1883758,창실고택,경상북도 청송군 파천면 송소고택길 39 (파천면),B02011600,162000,35,N/A,N/A
Accommodation,139909,창앤영펜션,대구광역시 달성군 유가읍 휴양림길 532 null,Guesthouse,139000,4,N/A,N/A
Accommodation,138675,채석강 리조트 유스호스텔,전북특별자치도 부안군 변산면 채석강길 19 null,B02010600,207000,37,N/A,N/A
Accommodation,3469610,채석강 비치 호텔,전북특별자치도 부안군 변산면 채석강길 19 null,Hotel,82000,37,N/A,N/A
Accommodation,2531364,채석리조텔오크빌,전북특별자치도 부안군 변산면 격포로 196 null,B02010900,135000,37,N/A,N/A
Accommodation,2503634,채석포펜션,충청남도 태안군 근흥면 용도로 212-1 null,Guesthouse,190000,34,N/A,N/A
Accommodation,2800983,채울,강원특별자치도 평창군 봉평면 버들개길 81-50 null,Guesthouse,157000,32,N/A,N/A
Accommodation,1971911,채원당,전라남도 곡성군 오곡면 기차마을로 217-28 (오곡면),B02011600,185000,38,N/A,N/A
Accommodation,2570423,책방,전북특별자치도 군산시 구영5길 100 (영화동),Camping,223000,37,N/A,N/A
Accommodation,2802031,책속에풍덩,경기도 양평군 용문면 중원산로 518-9 null,Guesthouse,100000,31,N/A,N/A
Accommodation,816272,척산온천장,강원특별자치도 속초시 관광로 288 null,B02010900,178000,32,N/A,N/A
Accommodation,139563,천안메트로관광호텔 ,충청남도 천안시 동남구 대흥로 241-11 null,Hotel,63000,34,N/A,N/A
Accommodation,397625,천안상록 유스호스텔,충청남도 천안시 동남구 수신면 수신로 576 null,B02010600,88000,34,N/A,N/A
Accommodation,2627229,천지연크리스탈호텔,제주특별자치도 서귀포시 천지연로 39 (서귀동),Camping,141000,39,N/A,N/A
Accommodation,3469628,첨성대하우스,경상북도 경주시 화랑로38번길 12 (성건동) null,Guesthouse,227000,35,N/A,N/A
Accommodation,1971917,청공한옥,경상북도 경주시 이구2길 5-6 (구정동) null,B02011600,61000,35,N/A,N/A
Accommodation,3072271,청담,충청남도 공주시 은행나무길 5 (반죽동) null,B02011600,53000,34,N/A,N/A
Accommodation,2814161,청도굿스파키즈풀빌라,경상북도 청도군 대전칠엽신길 82-60 null,Guesthouse,84000,35,N/A,N/A
Accommodation,3533165,청량안채,서울특별시 동대문구 서울시립대로4길 27-27 (전농동) null,B02011600,106000,1,N/A,N/A
Accommodation,2622367,청벽비발디,세종특별자치시 장군면 금송로 161 null,Guesthouse,221000,8,N/A,N/A
Accommodation,3102207,청석골감로다원,경상남도 하동군 화개면 모암길 44-1 null,B02011600,199000,,N/A,N/A
Accommodation,3438577,청연,전북특별자치도 전주시 완산구 전주천동로 80-19 (교동) null,B02011600,152000,,N/A,N/A
Accommodation,2607725,청우 황토펜션(보성그린빌펜션),전라남도 보성군 보성읍 사동길 54 null,Guesthouse,239000,38,N/A,N/A
Accommodation,138017,청재설헌,제주특별자치도 서귀포시 인정오름로 135-18 null,Guesthouse,96000,39,N/A,N/A
Accommodation,3468318,청재한옥,경상북도 경주시 불국로 163 (마동) null,B02011600,52000,35,N/A,N/A
Accommodation,137416,청주온천호텔,충청남도 아산시 충무로8번길 6 null,B02010900,243000,34,N/A,N/A
Accommodation,620529,청초비치 모텔,강원특별자치도 속초시 동해대로 4092 null,B02010900,107000,32,N/A,N/A
Accommodation,3533147,청킹멘션부산,부산광역시 부산진구 서전로58번길 15-3 (전포동) null,Camping,157000,6,N/A,N/A
Accommodation,397980,청태산힐링펜션,강원특별자치도 횡성군 둔내면 청태산로303번길 16-35 null,Guesthouse,205000,32,N/A,N/A
Accommodation,3533008,청택고택,서울특별시 성북구 동소문로18길 12-6 (동소문동5가) 돈암시장 내 갈색대문,B02011600,104000,1,N/A,N/A
Accommodation,2378813,청풍게스트하우스,충청북도 제천시 의림대로6길 5 null,B02010900,179000,33,N/A,N/A
